"!symbol / month","!symbol / month"
"Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Alias","Alias"
"Alias For Display","Alias ​​para la exhibición"
"Alias Manager","Alias Manager"
"Alias manager","Alias manager"
"All Customers","All Customers"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Montante"
"Amount Incl. Tax","Amount Incl. Tax"
"An unexpected error occurred.","An unexpected error occurred."
"Approval Code","Approval Code"
"Approval Code missing","Approval Code missing"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Authentication Server Error","Authentication Server Error"
"Authentication of Bank Account","Authentication of Bank Account"
"Authentication of Person","Authentication of Person"
"Author","Author"
"Authorization Amount","Importe de autorisación"
"Authorization Attempted","Authorization Attempted"
"Authorization Failed","Autorisación fallada"
"Authorization Method","Método de autorización"
"Authorization is uncertain.","Autorización está incierta"
"Authorized Status","Authorized Status"
"Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>.","Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>."
"Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>. <br /> If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase.","Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>. <br /> If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase."
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Code","Bank Code"
"Bank Location","Banco Ubicación"
"Bank Name","Nombre del banco"
"Bank account number","Número de cuenta bancaria"
"Bank code number","Código bancario"
"Before payment selection","Antes de elegir la forma de pago"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Billing address","Dirección de facturación"
"Birthplace","Birthplace"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"CVC Code","CVC código"
"Can not retrieve installment rates.","Can not retrieve installment rates."
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Cancelar órdenes pendientes si el artículo ya no está en stock"
"Cancel status","Cancelar Estado"
"Canceled FirstDataConnectCw","Canceled FirstDataConnectCw"
"Canceling of this payment not possible!","La cancelación de este pago no es posible"
"Cancelled Status","Cancelled Status"
"Cannot update item quantity.","No se puede actualizar la cantidad de artículo."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Cantidad de captura"
"Capture information","Informaciones de la contabilización"
"Capture status","El estado de captura"
"Capture: Don't Close","Capture: Don't Close"
"Captured Amount","Importe reembolsado"
"Captured Status","Captured Status"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Contabilización"
"Card Expiration","Fecha de vencimiento de la tarjeta"
"Card Expiry Date","Card Expiry Date"
"Card Holder Name","Titular de tarjeta"
"Card Number","Número de tarjeta"
"Cardholder not enrolled","Cardholder not enrolled"
"Carrier Title","Carrier Title"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout failed with unknown reason","Checkout failed with unknown reason"
"Checkout using your account","Checkout using your account"
"Checkout with MasterPass.","Checkout with MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecciona 'Creación después del pedido' si quiere que se crea una factura con el pedido. El estado de la factura basa en la el estado contabilización. Para los pagos capturados, siempre se crea una factura."
"Client Certificate Passphrase","Client Certificate Passphrase"
"Client Certificate Passphrase (Test)","Client Certificate Passphrase (Test)"
"Company Commercial Number","Compañía Número Comercial"
"Confirm Password","Confirm Password"
"Continue","Continuar"
"Could not convert object of type '!type' to string.","No se pudo convertir el objeto de tipo '!type' a string."
"Could not fetch installment plan from Klarna","Could not fetch installment plan from Klarna"
"Could not find a brand for the given card number.","No se pudo encontrar una marca para el número de la tarjeta dada."
"Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Could not find pressed button.","No se pudo encontrar el botón presionado."
"Could not find template file at default location '!location'.","No se pudo encontrar el archivo de plantilla en la ubicación predeterminada '!location'."
"Could not find the payment method !paymentMethodName.","No se pudo encontrar la forma de pago !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","No se pudo cargar el diseño de URL !url. Motivo: !reason"
"Could not resolve IP address of the customer.","Could not resolve IP address of the customer."
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Total del nota de crédito debe ser positivo."
"Currency","Moneda"
"Current Configuration Scope:","Alcance de configuración actual:"
"Customer Account","Customer Account"
"Customer Alias Management","Customer Alias Management"
"Customer did not enter a date of birth.","Customer did not enter a date of birth."
"Customer did not enter a phone number.","Customer did not enter a phone number."
"Customer did not enter a social securiy number.","Customer did not enter a social securiy number."
"Customer did not select his gender.","Customer did not select his gender."
"Customer successfully returned from FirstDataConnectCw","El cliente ha regresado con éxito de FirstDataConnectCw"
"Customer successfully returned from FirstData Connect","Cliente regresó con éxito de FirstData Connect"
"Customer sucessfully returned from the FirstDataConnectCw payment page.","Customer sucessfully returned from the FirstDataConnectCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"DEBUG","DEBUG"
"Data Collection","Data Collection"
"Date","Fecha"
"Date of Birth","Fecha de nacimiento"
"Day","Día"
"Deactivate","Deactivate"
"Deactivated","Deactivated"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Default Config","Configuración estándar"
"Deferred","Deferred"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","Contabilización retrasada"
"Deferred settlement","Creación retrasada"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Delayed","Retrasado"
"Delete","Borrar"
"Delivery address","Dirección de envío"
"Description","Descripción"
"Details: !details","Details: !details"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Contabilización immediatamente después del pedido"
"Directly after order","Directly after order"
"Directly after order (sale)","Directly after order (sale)"
"Directory Server Error","Directory Server Error"
"Directory Server not responding","Directory Server not responding"
"Direkt??berweisung Verification","Direkt??berweisung Verification"
"DirektÜberweisung Verification","DirektÜberweisung Verification"
"Disable 3d Secure for this payment method.","Disable 3d Secure for this payment method."
"Disabled","Desactivado"
"Discount","Immediatamente después del pedido"
"Discount Amount","Cantidad de Descuento"
"Don't change order status","Don't change order status"
"During authorization","Durante la autorización"
"During the authorization of the payment a 3D secure check may be done. The selected outcomes are treated as uncertain transactions.","During the authorization of the payment a 3D secure check may be done. The selected outcomes are treated as uncertain transactions."
"Edit","Editar"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Activar forma de pago"
"Enabled","Activado"
"Enter the date on which your card expires.","Introduzca la fecha en la que expira su tarjeta."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect (Test).","Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect (Test)."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect.","Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect."
"Error","Error"
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Excl. impuesto"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Fallado"
"Failed payment authorization.","Error de autorización de pago."
"Female","Female"
"Figure !number:","Figure !number:"
"Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)","Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)"
"Force FirstData Connect to send the payment notification on a non SSL secured connection","Force FirstData Connect to send the payment notification on a non SSL secured connection"
"Force non SSL notifications","Force non SSL notifications"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Gather solvency information through the service from B??rgel","Gather solvency information through the service from B??rgel"
"Gather solvency information through the service from Bürgel","Gather solvency information through the service from Bürgel"
"Gender","Gender"
"Get Update","Get Update"
"Handling Fee","Handling Fee"
"Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>.","Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name-{id}). Make sure that you do not use '_'.","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name-{id}). Make sure that you do not use '_'."
"Hide","Hide"
"Home","Home"
"I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply."
"IBAN","IBAN"
"IBAN number","número IBAN"
"Identification of Person","Identification of Person"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Si sólo hay una unidad en stock y el pago del cliente (comprando esta unidad) falla, el producto está reservado hasta que la orden esta cancelada (vea la opción de tiempo de espera). Activa esta opción si desea que el producto NO está reservado. Ordenes con un estado de pago fallido o annulado entonces serán canceladas inmediatamente."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"If activating this setting, the Payment Page uses a responsive styling. It adapts itself to the resolution of the screen.","If activating this setting, the Payment Page uses a responsive styling. It adapts itself to the resolution of the screen."
"If it is not applicable leave the field empty.","Si no es aplicable deje el campo vacío."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si el estado es pendiente' no está claro si la transacción será devuelto con éxito."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"In test mode amounts with decimal places fail. Only xx.00 is accepted","In test mode amounts with decimal places fail. Only xx.00 is accepted"
"In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason","In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason"
"In test mode amounts with decimal places fail: !originalReason","In test mode amounts with decimal places fail: !originalReason"
"Inactive","Inactive"
"Incl. Tax","Incl. impuesto"
"Information","Information"
"Installment","Installment"
"Interest Fee","Interest Fee"
"Interest Rate","Interest Rate"
"Invalid login or password.","Invalid login or password."
"Invoice","Invoice"
"Invoice Fee","Invoice Fee"
"Invoice Items","Artículos factura"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Totales de las facturas"
"Invoice settlement","Creación de la factura."
"Invoice was created successfully","La cuenta ha sido creada con éxito"
"Invoices","Facturas"
"Issue Number","Número de emisión"
"Issuing Bank","Issuing Bank"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Klarna: Shared Secret","Klarna: Shared Secret"
"Laser","Laser"
"Learn More","Learn More"
"Live Environment","Live Environment"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"MOTO Shared Secret Connect Interface","MOTO Shared Secret Connect Interface"
"MOTO Shared Secret Connect Interface (Test)","MOTO Shared Secret Connect Interface (Test)"
"MOTO Store ID","MOTO Store ID"
"MOTO Store ID (Test)","MOTO Store ID (Test)"
"Maestro","Maestro"
"Maestro UK","Maestro UK"
"Mail order/telephone order authorization","Autorización para pedido para e-Mail/pedido telefónico"
"Male","Male"
"Manage Stores","Administrar las tiendas"
"Manage FirstData Connect Aliases","Manage FirstData Connect Aliases"
"Mandate Reference","Mandate Reference"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Order Confirmation"
"Maximum Order Total","Cantidad máxima del pedido"
"Message","Notificación"
"Method Title","Method Title"
"Method information","Method information"
"Minimal Monthly Payment","Minimal Monthly Payment"
"Minimum Order Total","Cantidad mínima del pedido"
"Missing requried parameters","Missing requried parameters"
"MoTo","MoTo"
"MoTo FirstData Connect API Password","MoTo FirstData Connect API Password"
"MoTo FirstData Connect API Password (Test)","MoTo FirstData Connect API Password (Test)"
"MoTo FirstData Connect API User Id","MoTo FirstData Connect API User Id"
"MoTo FirstData Connect API User Id (Test)","MoTo FirstData Connect API User Id (Test)"
"Mobile","Mobile"
"Month","Mes"
"Moto Client Certificate Passphrase","Moto Client Certificate Passphrase"
"Moto Client Certificate Passphrase (Test)","Moto Client Certificate Passphrase (Test)"
"My FirstData Connect Aliases","My FirstData Connect Aliases"
"New Order","New Order"
"New Order Status","Estado de orden nuevo"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","No"
"No Items","No Items"
"No Store ID was provided.","No Store ID was provided."
"No additional payment information available.","No hay información adicional de pago disponible."
"No authorization method found for payment method !method.","Ningún método de autorización encontrado para el pago al !method."
"No button returned.","Botón no regresó."
"No day set in the date of birth field.","No day set in the date of birth field."
"No hash provided","No hash provided"
"No month set in the date of birth field.","No month set in the date of birth field."
"No refund possible.","Ningún reembolso posible"
"No shipping method needed.","No shipping method needed."
"No year set in the date of birth field.","No year set in the date of birth field."
"No, use the dropdown.","No, use the dropdown."
"None","None"
"Not enrolled","Not enrolled"
"Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Only authorized transaction can be cancelled.","Sólo las transacciones autorizadas se pueden cancelar."
"Only authorized transaction can be captured.","Sólo las transacciones autorizadas pueden ser contabilizadas"
"Only authorized transaction can be refunded.","Sólo las transacciones autorizadas pueden ser reembolsadas."
"Only captured transaction can be refunded.","Sólo las transacciones contabilizadas pueden ser reembolsadas"
"Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Operation Mode","Operation Mode"
"Order #","Order #"
"Order Grand Total","Gran Total del Pedido"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Summary","Order Summary"
"Order Total","Order Total"
"Order cancelled, because the customer was too long in the payment process of FirstData Connect.","El pedido fue cancelado debido a que el cliente se encuentra demasiado tiempo en el proceso de pago de FirstData Connect."
"Order prefix","Order prefix"
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Pedidos cuyos pagos quedarán pendiente mayor que el tiempo definido en minutos se cancelarán automáticamente. Para utilizar esta función es necesario configurar Magento cron."
"Paid Amount","Cantidad pagada"
"Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend.","Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend."
"Partial refund not possible. You may retry with the total transaction amount.","Reembolso parcial imposible. El importe es mayor que el importe total contabilizado."
"Password","Password"
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Payment","Payment"
"Payment ID","ID de pago"
"Payment Id","ID de pago"
"Payment Information","Condiciones de venta"
"Payment Information only","Payment Information only"
"Payment Method","Forma de pago"
"Payment and Billing","Payment and Billing"
"Payment captured successfully.","Pago capturado con éxito."
"Payment could not be authorized. Cancelling order. Reason : ","El pago no fue autorizado. El pedido será cancelado. Razón:"
"Payment details can be entered after placing the order","Detalles del pago se pueden introducir a partir del pedido"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Pago de países aplicables"
"Payment from specific countries","Pago de países específicos"
"Payment is pending at FirstDataConnectCw","Pago está pendiente con FirstDataConnectCw"
"Payment method description","Descripción de la forma de pago"
"Payment with %s","Pago con %s"
"Payment with FirstData Connect","Pago con FirstData Connect"
"Payment, Billing and Shipping","Payment, Billing and Shipping"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Los pagos se pueden actualizar de forma automática (intervalo en minutos) via API (sie está activado). Para utilizar la función, el Magento Cron debe estar activado."
"Pending","Pendiente"
"Pending FirstDataConnectCw","Pending FirstDataConnectCw"
"Phone Number","Phone Number"
"Place Order","Place Order"
"Please accept the terms and conditions.","Please accept the terms and conditions."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check the entered CVC number.","Por favor, compruebe el número de CVC introducido."
"Please check the entered credit card number.","Por favor, compruebe el número de la tarjeta de crédito introducida."
"Please configure the Klarna Merchant ID","Please configure the Klarna Merchant ID"
"Please configure the Klarna Shared Secret","Please configure the Klarna Shared Secret"
"Please enter a day of birth.","Please enter a day of birth."
"Please enter a phone number.","Please enter a phone number."
"Please enter a valid day of birth.","Please enter a valid day of birth."
"Please enter here the Bank Identifier Code (BIC).","Por favor introduzca el Código de identificación bancaria (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Por favor, introduzca la CVC su tarjeta. Usted puede encontrar esto en la parte de atrás de su tarjeta de crédito."
"Please enter here the IBAN of your bank account.","Please enter here the IBAN of your bank account."
"Please enter here the International Bank Account Number (IBAN).","Por favor introduzca el Número de Cuenta Bancaria Internacional (IBAN)."
"Please enter here the account holder name on the card.","Por favor introduzca el nombre titular de la cuenta de la tarjeta."
"Please enter here the account holder name.","Escriba aquí el nombre del titular."
"Please enter here the account number of your bank account.","Introduce el número de cuenta de tu cuenta bancaria."
"Please enter here the bank code of your bank.","Por favor, introduzca su código bancario."
"Please enter here the card holder name on the card.","Por favor indique el titular de la tarjeta a su tarjeta de crédito."
"Please enter here the commercial number of your company.","Por favor introduzca el número comercial de su empresa."
"Please enter here the name of the account owner.","Por favor, introduzca el nombre del titular de la cuenta bancaria"
"Please enter here the number on your card.","Por favor, introduzca su número de tarjeta"
"Please enter here the sales tax number of your company.","Por favor, introduzca aquí el número de impuesto sobre las ventas de su empresa."
"Please enter here your birthplace","Please enter here your birthplace"
"Please enter here your phone number.","Please enter here your phone number."
"Please enter here your social security number.","Por favor, introduzca aquí su número de seguro social."
"Please enter the BIC of your bank.","Please enter the BIC of your bank."
"Please enter the location of your bank.","Por favor, introduzca la ubicación de su banco."
"Please enter the name of your bank.","Por favor escriba el nombre de su banco."
"Please enter your Date of Birth (DD.MM.YYYY).","Please enter your Date of Birth (DD.MM.YYYY)."
"Please enter your IBAN number.","Por favor, introduzca su número de IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Por favor, introduzca su número de emisión, si no existe un código CVC de su tarjeta."
"Please enter your phone number.","Please enter your phone number."
"Please enter your social security number.","Please enter your social security number."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Por favor, parpadear o desactivar el almacenamiento de caché y vuelva a intentarlo. Si esto no ayuda, cambie el método de autorización para PaymentPage y <a href=""%s"" target=""_blank"">contacta sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please log in below:","Please log in below:"
"Please read and accept the terms and conditions.","Please read and accept the terms and conditions."
"Please selecet your gender.","Please selecet your gender."
"Please select","Por favor seleccione"
