"!symbol / month","!symbol / Monat"
"* Required Fields","* Erforderliche Felder"
"Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>.","Verfügungsrahmen ab 199,99 !symbol (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07%* und Gesamtbetrag 218,57 !symbol* (*bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 !symbol). Hier finden Sie <a href='!more' target='_blank'>weitere Informationen</a>, <a href='!tac' target='_blank'>AGB mit Widerrufsbelehrung</a> und <a href='!info' target='_blank'>Standardinformationen für Verbraucherkredite</a>."
"Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>. <br /> If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase.","Verfügungsrahmen ab 199,99 !symbol (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07%* und Gesamtbetrag 218,57 !symbol* (*bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 !symbol). Hier finden Sie <a href='!more' target='_blank'>weitere Informationen</a>, <a href='!tac' target='_blank'>AGB mit Widerrufsbelehrung</a> und <a href='!info' target='_blank'>Standardinformationen für Verbraucherkredite</a>.<br />
Übersteigt Ihr Einkauf mit Klarna Ratenkauf erstmals einen Betrag von 199,99 !symbol erhalten Sie von Klarna einen Ratenkaufvertrag mit der Bitte um Unterzeichnung zugesandt. Ihr Kauf gilt solange als Rechnungskauf."
"Await Notification","Benachrichtigung abwarten"
"Awaiting confirmation","Warten auf die Bestätigung"
"BIC","BIC"
"Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Bank Code","Bankcodenummer"
"Bank Location","Bank Standort"
"Bank Name","Name der Bank"
"Bank account number","Bankkonto"
"Bank code number","Bankcodenummer"
"Before payment selection","Vor der Wahl der Zahlungsmethode"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformationen"
"Billing address","Billing address"
"Birthplace","Geburtsort"
"Brand Name","Markenname"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"CVC Code","CVC Code"
"Can not retrieve installment rates.","Der Ratenplan konnte nicht geladen werden."
"Cancel","Stornieren"
"Cancel ID","Stornierungs ID"
"Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Cancel status","Stornierungsstatus"
"Canceled FirstDataConnectCw","Abbrechen FirstDataConnectCw"
"Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Cancelled Status","Status für abgebrochene Bestellungen"
"Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Capture Amount","Buchungsbetrag"
"Capture ID","Buchungs ID"
"Capture amount","Verbuchungsbetrag"
"Capture information","Buchungs Informationen"
"Capture status","Verbuchungsstatus"
"Capture: Don't Close","Verbuchung: Nicht schliessen"
"Captured Amount","Verbuchter Betrag"
"Captured Status","Verbuchungsstatus"
"Captures","Verbuchungen"
"Captures & Refunds","Verbuchungen & Gutschriften"
"Capturing","Verbuchung"
"Card Expiration","Kartenablaufdatum"
"Card Expiry Date","Ablaufdatum der Karte"
"Card Holder Name","Karteninhaber"
"Card Number","Kartennummer"
"Cardholder not enrolled","Karteninhaber nimmt am Verfahren nicht teil"
"Carrier Title","Carrier Title"
"Check out faster","Schnelleres Bestellen"
"Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Checkout","Checkout"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Checkout as a new customer","Als Neukunde bestellen"
"Checkout failed with unknown reason","Der Bestellabschluss ist aufgrund eines unbekannten Grunds fehlgeschlagen."
"Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Checkout with MasterPass.","Bezahlen mit MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt. Für verbuchte Zahlungen wird stets eine Rechnung erstellt."
"Client Certificate Passphrase","Kundenzertifikats-Schlüssel"
"Client Certificate Passphrase (Test)","Client Certificate Passphrase (Test)"
"Company Commercial Number","Handelsregisternummer der Firma"
"Confirm Password","Passwort bestätigen"
"Continue","Fortfahren"
"Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Could not fetch installment plan from Klarna","Der Ratenplan konnte von Klarna nicht geladen werden."
"Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Could not find an adapter for the authoriztion method !methodName.","Es konnte kein Adapter für die Autorisierungsmethode !methodName gefunden werden."
"Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Could not resolve IP address of the customer.","Die IP Adresse des Kunden konnte nicht aufgelöst werden."
"Create Account","Benutzerkonto erstellen"
"Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Creation Date","Erstellungsdatum"
"Credit Card Brands","Kreditkartenbrand"
"Credit Memo History","Gutschrifthistorie"
"Credit Memo Totals","Gutschrift Total"
"Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Currency","Währung"
"Current Configuration Scope:","Scope der Konfiguration:"
"Customer Account","Kundenkonto"
"Customer Alias Management","Kunden Alias Management"
"Customer did not enter a date of birth.","Der Kunde hat kein Geburtsdatum angegeben."
"Customer did not enter a phone number.","Der Kunde hat keine Telefonnummer eingetragen."
"Customer did not enter a social securiy number.","Der Kunde hat keine Sozialversicherungsnummer angegeben."
"Customer did not select his gender.","Der Kunde hat kein Geschlecht gewählt."
"Customer successfully returned from FirstDataConnectCw","Kunde ist erfolgreich von FirstDataConnectCw zurückgekehrt"
"Customer successfully returned from FirstData Connect","Der Kunde ist erfolgreich von der FirstDataConnectCw Payment Page zurückgekehrt."
"Customer sucessfully returned from the FirstDataConnectCw payment page.","Der Kunde ist erfolgreich von der FirstDataConnectCw Payment Page zurückgekehrt."
"Customers","Kunden"
"Customweb","Customweb"
"DEBUG","DEBUG"
"Data Collection","Daten Sammlung"
"Date","Datum"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Deactivate","Deaktivieren"
"Deactivated","Deaktiviert"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Default Config","Standard Konfiguration"
"Deferred","Verzögert"
"Deferred (authorization)","Verzögert (Autorisierung)"
"Deferred capturing","Verzögerte Buchung"
"Deferred settlement","Verzögerte Erstellung"
"Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Delayed","Verzögert"
"Delete","Löschen"
"Delivery address","Delivery address"
"Description","Beschreibung"
"Details: !details","Details: !details"
"Diners Club","Diners Club"
"Direct Debits","Lastschrift"
"Direct E-Banking","Sofortüberweisung"
"Direct capture after order","Direkte Buchung nach der Bestellung"
"Directly after order","Direkte Buchung nach der Bestellung"
"Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Directory Server Error","Verzeichnis Server Error"
"Directory Server not responding","Verzeichnis Server antwortet nicht"
"DirektÜberweisung Verification","DirektÜberweisung Überprüfung"
"Disable 3d Secure for this payment method.","3D Secure für diese Zahlungsmethode deaktivieren"
"Disabled","Deaktiviert"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Don't change order status","Bestellstatus nicht verändern."
"During authorization","Während der Autorisation"
"During the authorization of the payment a 3D secure check may be done. The selected outcomes are treated as uncertain transactions.","Während der Autorisation der Zahlung kann ein 3D Secure Check durchgeführt werden. Die ausgewählten Ergebnisse werden als ungewisse Transaktionen behandelt."
"Edit","Bearbeiten"
"Edit Invoice %s","Rechnung bearbeiten %s"
"Email Address","E-Mail Adresse"
"Empty version number field name","Leerer Versionsnummer-Feldname"
"Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Enable the payment method","Diese Zahlungsmethode aktivieren"
"Enabled","Aktiviert"
"Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect (Test).","Bitte geben Sie die Store ID ein, welche Sie für MoTo Transaktionen benützen möchten. Die MoTo ID wird Ihnen von FirstData Connect zur Verfügung gestellt."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect.","Bitte geben Sie die Store ID ein, welche Sie für MoTo Transaktionen benützen möchten. Die MoTo ID wird Ihnen von FirstData Connect zur Verfügung gestellt."
"Error","Fehler"
"Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Excl. Tax","Exkl. Steuern"
"External Checkout","Externer Checkout"
"External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Failed","Fehlgeschlagen"
"Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Female","Weiblich"
"Figure !number:","Abbildung !number:"
"Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)","Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)"
"Force FirstData Connect to send the payment notification on a non SSL secured connection","FirstData Connect zwingen, die Zahlungsbenachrichtigung über eine nicht SSL gesicherte Verbindung zu senden."
"Force non SSL notifications","Non SSL Benachrichtigungen erzwingen"
"Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"Gather solvency information through the service from Bürgel","Bonitätsinformationen über den Service von Bürgel einholen"
"Gender","Geschlecht"
"Get Update","Aktualisieren"
"Handling Fee","Bearbeitungsgebühr"
"Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>.","Hier finden Sie weitere Informationen <a href='!more' target='_blank'>zu Ratenzahlungen</a>, <a href='!tac' target='_blank'>Allgemeine Geschäftsbedingungen mit Informationen zur Vertragsauflösung</a> und <a href='!info' target='_blank'>Allgemeine Informationen über den Konsumentenkredit</a>."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an FirstData Connect übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name-{id}). Make sure that you do not use '_'.","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an FirstData Connect übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Hide","Verbergen"
"Home","Home"
"I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine !consent kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die AGB des Händlers."
"IBAN","IBAN"
"IBAN number","Bankkonto"
"Identification of Person","Identifizierung der Person"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"If activating this setting, the Payment Page uses a responsive styling. It adapts itself to the resolution of the screen.","Wenn Sie diese Einstellung aktivieren, verwendet der Payment Page das responsive styling. Es passt sich der Auflösung des Bildschirms an."
"If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Auswahl des Kartenlogos"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"In test mode amounts with decimal places fail. Only xx.00 is accepted","Im Testmodus werden Beträge mit Dezimalstellen nicht akzeptiert. Nur xx.oo wird akzeptiert."
"In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason","Im Testmodus werden Beträge mit Dezimalstellen nicht akzeptiert. Nur xx.oo wird akzeptiert: !originalReason"
"In test mode amounts with decimal places fail: !originalReason","Im Testmodus sind Mengen mit Dezimalstellen ungültig: !originalReason"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Tax"
"Information","Information"
"Installment","Ratenzahlung"
"Interest Fee","Ratenkaufgebühr"
"Interest Rate","Sollzinssatz"
"Invalid login or password.","Ungültiges Login oder Passwort."
"Invoice","Rechnung"
"Invoice Fee","Rechnungsgebühr"
"Invoice Items","Rechungsartikel"
"Invoice Settlement","Verbuchung der Rechnung"
"Invoice Totals","Rechnungstotal"
"Invoice settlement","Rechungserstellung"
"Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Invoices","Rechungen"
"Issue Number","Ausgabekartennummer"
"Issuing Bank","Issuing Bank"
"It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Item","Artikel"
"Items","Artikel"
"Items Refunded","Artikel zurückerstattet"
"JCB","JCB"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Klarna: Shared Secret","Klarna: Shared Secret"
"Laser","Laser"
"Learn More","Mehr erfahren"
"Live Environment","Live Umgebung"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Modus"
"Live Password","Live Passwort"
"Live Rang (PBX_RANG)","Live Rang"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrieren"
"Login and password are required.","Login und Passwort sind erforderlich."
"MOTO Shared Secret Connect Interface","MOTO Shared Secret Connect Interface"
"MOTO Shared Secret Connect Interface (Test)","MoTo Shared Secret Connect Interface (Test)"
"MOTO Store ID","MoTo Store ID"
"MOTO Store ID (Test)","MoTo Store ID (Test)"
"Maestro","Maestro"
"Maestro UK","Maestro UK"
"Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Male","Männlich"
"Manage Stores","Shops verwalten"
"Manage FirstData Connect Aliases","FirstData Connect Aliasse verwalten"
"Mandate Reference","Mandatsreferenz"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Bestellungsbestätigung"
"Maximum Order Total","Maximales Bestelltotal"
"Message","Nachricht"
"Method Title","Titel der Zahlungsmethode"
"Method information","Informationen über die Zahlungsmittel"
"Minimal Monthly Payment","Monatliche Mindestrate"
"Minimum Order Total","Minimales Bestelltotal"
"Missing requried parameters","Zwingende Parameter fehlen"
"MoTo","MoTo"
"MoTo FirstData Connect API Password","MoTo FirstData Connect API Passwort"
"MoTo FirstData Connect API Password (Test)","MoTo FirstData Connect API Passwort (Test)"
"MoTo FirstData Connect API User Id","MoTo FirstData Connect API User ID"
"MoTo FirstData Connect API User Id (Test)","MoTo FirstData Connect API User ID (Test)"
"Mobile","Mobil"
"Month","Monat"
"Moto Client Certificate Passphrase","MoTo Kundenzertifikats-Passwort"
"Moto Client Certificate Passphrase (Test)","MoTo Client Certificate Passphrase (Test)"
"My FirstData Connect Aliases","Meine FirstData Connect Aliasse"
"New Order","Neue Bestellung"
"New Order Status","Neuer Bestellstatus"
"New card","Neue Karte"
"Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"No","Nein"
"No Items","Keine Artikel"
"No Store ID was provided.","Es wurde keine Store ID angegeben."
"No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"No button returned.","Kein Knopf erhalten."
"No day set in the date of birth field.","Beim Geburtdatum wurde kein Tag angegeben."
"No hash provided","Es wurde kein Hash zurückgegeben"
"No month set in the date of birth field.","Beim Geburtdatum wurde kein Monat angegeben."
"No refund possible.","Keine Rückvergütung möglich"
"No shipping method needed.","Keine Versandmethode benötigt."
"No year set in the date of birth field.","Beim Geburtdatum wurde kein Jahr angegeben."
"No, use the dropdown.","Dropdown-Menü benutzen"
"None","Keine"
"Not enrolled","Nicht eingeschrieben"
"Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Operation Mode","Betriebsmodus"
"Order #","Bestellnummer"
"Order Grand Total","Gesamtsumme der Bestellung"
"Order Information","Bestellungsinformation"
"Order Prefix","Bestell-Präfix"
"Order Review","Bestellungsüberprüfung"
"Order Summary","Bestellzusammenfassung"
"Order Total","Bestelltotal"
"Order cancelled, because the customer was too long in the payment process of FirstData Connect.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von FirstData Connect befand."
"Order prefix","Bestellungs-Präfix"
"Order was placed using %s","Order was placed using %s"
"Orders","Bestellungen"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Paid Amount","Bezahlter Betrag"
"Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Teilaktivierungen und Teilgutschriften von Klarna Bestellungen können nicht im Shop durchgeführt werden. Dies müssen Sie im Backend des PSPs durchführen."
